"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "HTML", "XML", "Markdown", "comment", "blank", "total"
"d:\KAVACH\trackpatrol_dashboard\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"d:\KAVACH\trackpatrol_dashboard\components.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\KAVACH\trackpatrol_dashboard\package-lock.json", "JSON", 0, 0, 0, 0, 18609, 0, 0, 0, 0, 1, 18610
"d:\KAVACH\trackpatrol_dashboard\package.json", "JSON", 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"d:\KAVACH\trackpatrol_dashboard\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 24, 1, 44
"d:\KAVACH\trackpatrol_dashboard\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\KAVACH\trackpatrol_dashboard\public\manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\KAVACH\trackpatrol_dashboard\src\App.css", "PostCSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 8, 29
"d:\KAVACH\trackpatrol_dashboard\src\App.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 2, 7, 82
"d:\KAVACH\trackpatrol_dashboard\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\KAVACH\trackpatrol_dashboard\src\Assests\index.jsx", "JavaScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\KAVACH\trackpatrol_dashboard\src\Assests\invisible.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"d:\KAVACH\trackpatrol_dashboard\src\Assests\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\KAVACH\trackpatrol_dashboard\src\Components\dutyCard.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 5, 61
"d:\KAVACH\trackpatrol_dashboard\src\Components\footer.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\KAVACH\trackpatrol_dashboard\src\Components\forms\bandobast.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 10, 118
"d:\KAVACH\trackpatrol_dashboard\src\Components\forms\hardware.jsx", "JavaScript JSX", 0, 0, 0, 140, 0, 0, 0, 0, 0, 11, 151
"d:\KAVACH\trackpatrol_dashboard\src\Components\forms\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Components\forms\personnel.jsx", "JavaScript JSX", 0, 0, 0, 197, 0, 0, 0, 0, 4, 17, 218
"d:\KAVACH\trackpatrol_dashboard\src\Components\header.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\KAVACH\trackpatrol_dashboard\src\Components\index.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\KAVACH\trackpatrol_dashboard\src\Components\locationTime.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\KAVACH\trackpatrol_dashboard\src\Components\logo.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\KAVACH\trackpatrol_dashboard\src\Components\map.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 1, 8, 46
"d:\KAVACH\trackpatrol_dashboard\src\Components\navbar.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\KAVACH\trackpatrol_dashboard\src\Components\ongoingDutyCard.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 2, 8, 68
"d:\KAVACH\trackpatrol_dashboard\src\Components\profile.jsx", "JavaScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 0, 5, 123
"d:\KAVACH\trackpatrol_dashboard\src\Components\sidebar.jsx", "JavaScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 8, 117
"d:\KAVACH\trackpatrol_dashboard\src\Components\titlePersonal.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\button.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\calendar.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 47, 7, 112
"d:\KAVACH\trackpatrol_dashboard\src\Components\ui-components\checkbox.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
